Gene,P.Value,Log FC
HGF,1.23e-06,1.30
EVI5L,1.31e-06,-1.34
MAFB,8.89e-07,2.69
CLINT1,1.33e-06,8.31e-01
CYBA,1.38e-06,1.55
MAP3K5,1.38e-06,9.52e-01
ASPHD1,1.40e-06,-1.59
UTRN,1.39e-06,1.37
GYPC,1.40e-06,1.47
USP5,1.46e-06,-1.29
DACT3,1.46e-06,-1.40
APOE,1.13e-06,2.19
PNPLA8,1.47e-06,8.06e-01
CNN3,1.51e-06,1.60
GLS,1.56e-06,1.17
CYBRD1,1.61e-06,1.28
TPM3,1.58e-06,8.89e-01
HDAC11,1.63e-06,-1.35
LGALS1,1.66e-06,1.50
IGSF8,1.74e-06,-1.22
IGSF8,1.77e-06,-1.28
ZFHX3,1.75e-06,1.42
LOC645676,1.75e-06,-8.39e-01
TANK,1.80e-06,9.68e-01
FBRSL1,1.85e-06,-1.20
ATF6B,1.85e-06,-1.11
TOM1L2,1.87e-06,-1.17
S100A10,1.60e-06,2.73
MAFB,1.34e-06,2.81
APC,1.93e-06,1.04
VAMP8,1.80e-06,1.84
PHEX,1.99e-06,1.05
UBE2S,2.02e-06,-1.11
IFI30,1.40e-06,2.80
NOTCH2,2.13e-06,1.55
HLA-DRB1,2.07e-06,1.99
OSBPL3,2.18e-06,1.32
LY96,2.15e-06,2.01
CELF2,2.24e-06,1.08
RAB23,2.19e-06,1.35
MAP3K1,2.28e-06,1.09
GNAO1,2.37e-06,-1.15
CD53,2.25e-06,1.72
CD44,2.14e-06,2.53
TNFSF13B,2.46e-06,1.32
PTPRC,2.33e-06,1.89
CCRL2,2.07e-06,1.93
MAP7D1,2.58e-06,-1.33
TGFB2,2.39e-06,1.55
SLC25A30,2.51e-06,9.98e-01
SAMSN1,2.38e-06,1.84
DPYSL4,2.68e-06,-1.41
OLR1,2.24e-06,2.31
SEC31A,2.66e-06,8.80e-01
HLA-E,2.89e-06,1.32
HLA-DRB5,2.50e-06,2.49
S100A11,2.64e-06,1.97
SRCIN1,2.99e-06,-1.56
TUBB,2.79e-06,8.19e-01
AGAP3,3.07e-06,-1.88
IRF8,3.08e-06,1.58
LTA4H,3.21e-06,1.26
SCPEP1,3.07e-06,8.82e-01
C3,3.18e-06,2.02
TPM3,3.25e-06,1.04
M6PR,3.19e-06,8.54e-01
VSTM2B,3.13e-06,-2.00
ITPR2,3.32e-06,1.57
PLEKHO2,3.45e-06,1.17
NRIP1,3.39e-06,9.54e-01
PDPN,3.55e-06,1.62
ST8SIA4,3.56e-06,1.09
COLEC12,3.06e-06,2.15
CMTM7,3.37e-06,2.00
TBC1D1,3.59e-06,8.70e-01
AK4,3.84e-06,1.41
HDAC11,3.79e-06,-1.17
ANXA1,3.28e-06,2.84
C4orf3,3.81e-06,-1.10
NUCB2,3.82e-06,1.13
TMEM121,3.94e-06,-1.30
HLA-DQB1,3.83e-06,2.05
SDCBP,4.02e-06,1.49
SLC15A3,3.35e-06,2.21
ZNF775,4.16e-06,-1.25
MIB2,4.07e-06,-1.03
ANKRD13B,4.03e-06,-8.93e-01
XPR1,3.92e-06,7.14e-01
ZHX1,4.29e-06,1.25
PARD3,4.33e-06,1.42
ETV6,4.14e-06,9.47e-01
PLEKHF2,4.31e-06,1.17
IKBIP,4.35e-06,1.05
FNDC3B,4.51e-06,1.53
CAPG,4.06e-06,2.36
CCDC109B,4.82e-06,1.25
WWC1,4.95e-06,1.37
PDE6B,4.98e-06,-1.23
ANXA2,4.83e-06,2.29
SYNC,5.07e-06,1.28
EIF4A1,4.84e-06,1.01
PTBP3,4.81e-06,7.88e-01
PLCD1,5.14e-06,1.13
CD68,4.52e-06,2.10
MKL2,5.22e-06,1.30
SWAP70,5.37e-06,1.18
MAPK8IP3,5.34e-06,-1.33
FBP1,5.09e-06,1.63
ROGDI,5.37e-06,-1.24
LOC100133299,5.14e-06,9.31e-01
CDCP1,5.45e-06,1.11
PIGS,4.86e-06,-7.39e-01
TPRN,5.63e-06,-1.36
RBMS1,5.34e-06,1.01
NTAN1,4.80e-06,6.70e-01
CXorf26,5.35e-06,7.96e-01
PARP14,5.56e-06,1.75
HLA-DRA,5.70e-06,2.18
SPOP,5.95e-06,1.04
FAM3A,5.67e-06,-9.10e-01
DNAJC1,5.96e-06,9.73e-01
SERPINA3,6.31e-06,3.16
RNF220,6.04e-06,-8.91e-01
LOC100129034,6.55e-06,1.19
RPLP1,6.45e-06,1.06
ZNF500,6.21e-06,-9.35e-01
AHCYL1,6.58e-06,1.22
HMOX1,6.67e-06,1.68
C1S,6.36e-06,2.31
SBF1,6.79e-06,-1.57
ZAK,6.78e-06,1.33
ARHGAP18,6.35e-06,8.85e-01
SCP2,6.48e-06,9.94e-01
ALPK3,6.92e-06,1.22
LCP1,6.93e-06,1.83
MOB1B,6.97e-06,1.21
APBB1,6.92e-06,-1.34
ELAVL3,6.93e-06,-1.32
CPT1C,6.89e-06,-1.14
SBF1P1,7.17e-06,-1.48
C1QB,7.16e-06,1.95
FCER1G,7.29e-06,1.55
SLFN11,7.29e-06,1.71
TOMM40,6.82e-06,-9.26e-01
DKC1,6.21e-06,6.35e-01
C5orf41,6.87e-06,8.46e-01
ARPC2,6.54e-06,7.15e-01
DAPP1,6.94e-06,8.71e-01
RPL14,6.86e-06,8.40e-01
DHRS3,7.73e-06,1.58
RUNX1,7.52e-06,1.12
PAQR4,7.65e-06,-1.15
TMOD3,7.62e-06,1.02
GBP2,6.96e-06,2.50
NFIB,7.31e-06,8.99e-01
NCF2,7.25e-06,1.91
ANP32E,7.69e-06,1.00
TBXAS1,7.74e-06,1.03
DNTTIP2,7.24e-06,7.85e-01
POLR2F,8.23e-06,-1.74
SLC40A1,8.18e-06,1.45
CPT1C,8.21e-06,-1.34
C6orf62,8.10e-06,9.34e-01
IFNGR2,8.11e-06,1.04
RAB11B,7.22e-06,-6.89e-01
PLSCR4,8.52e-06,1.88
SLC2A10,7.79e-06,8.68e-01
SAMD9L,8.20e-06,1.01
LASP1,8.34e-06,1.13
NDUFS7,8.55e-06,-1.20
LOC100130373,8.53e-06,-1.05
EHBP1,8.62e-06,1.19
FMN2,8.46e-06,1.12
SUMO2,7.55e-06,7.34e-01
ITGB2,8.69e-06,1.79
DTNA,8.76e-06,1.19
KAL1,8.91e-06,1.68
GPX1,9.00e-06,1.45
SUCLG2,8.81e-06,1.06
FGD3,8.80e-06,1.10
EFEMP1,9.25e-06,1.74
ATG2A,8.97e-06,-1.06
LOC100132707,8.30e-06,7.16e-01
RALBP1,9.58e-06,1.23
NDST1,9.54e-06,-1.37
DAB2,9.34e-06,1.93
FAM199X,8.11e-06,6.78e-01
CDK18,9.63e-06,-1.30
PDIA3,9.24e-06,9.19e-01
MAN1C1,9.87e-06,1.80
PACS2,9.89e-06,-1.66
FYB,9.80e-06,1.42
C14orf135,9.01e-06,7.28e-01
PTPRC,9.93e-06,1.43
CLEC2D,9.06e-06,8.37e-01
LILRA6,1.04e-05,1.44
NHSL1,9.33e-06,7.94e-01
KLHL6,9.92e-06,1.94
DTX3L,9.72e-06,8.62e-01
SCIN,1.01e-05,2.07
RAC2,1.09e-05,1.28
GGA2,1.04e-05,1.10
CDC42EP1,1.09e-05,-1.29
SLC22A5,1.01e-05,9.02e-01
UNC119B,9.69e-06,7.72e-01
STEAP3,1.12e-05,1.54
MGAT4A,1.09e-05,1.14
THTPA,9.57e-06,-7.32e-01
HLA-DMA,1.07e-05,2.07
LCP2,1.11e-05,1.22
SASH3,1.10e-05,1.11
ARHGDIB,1.15e-05,1.52
TM6SF1,1.09e-05,8.29e-01
PYCARD,1.16e-05,1.38
DPH3,1.11e-05,1.01
HSP90B3P,1.14e-05,1.30
RAB4B,1.09e-05,-1.02
FLI1,1.12e-05,1.13
PDE3B,1.12e-05,1.12
COL8A1,1.19e-05,1.96
GNG8,1.20e-05,-1.24
PPT1,1.11e-05,8.42e-01
TTC19,1.14e-05,8.36e-01
MSR1,1.16e-05,2.05
TMEM164,1.15e-05,9.86e-01
PDGFC,1.19e-05,1.03
SNX5,1.21e-05,9.14e-01
YEATS2,1.12e-05,-7.67e-01
C14orf80,1.18e-05,-8.99e-01
CASP1,1.32e-05,1.59
GALM,1.13e-05,7.79e-01
PTGDS,1.30e-05,-1.40
EEF1G,1.14e-05,8.00e-01
ILF3,1.19e-05,-8.53e-01
GPR65,1.36e-05,1.59
TMEM151A,1.32e-05,-1.14
SYT17,1.21e-05,8.34e-01
MAP3K5,1.28e-05,1.06
MSRB3,1.36e-05,1.29
SLC43A3,1.31e-05,1.03
ARHGAP33,1.21e-05,-8.00e-01
ALDH1L2,1.29e-05,8.64e-01
ANAPC2,1.14e-05,-6.11e-01
LMOD1,1.35e-05,1.62
RPLP0,1.29e-05,1.01
RPN2,1.22e-05,7.85e-01
C11orf75,1.35e-05,1.21
PARVG,1.41e-05,1.40
CBL,1.25e-05,7.96e-01
CSDA,1.36e-05,2.28
KIF16B,1.14e-05,5.62e-01
DAAM1,1.42e-05,1.69
FAM129A,1.47e-05,1.60
MAP7D1,1.45e-05,-1.40
TMEM43,1.27e-05,7.17e-01
SUSD1,1.47e-05,1.36
FCHO1,1.43e-05,-1.12
RBMS1,1.44e-05,1.24
CCR1,1.40e-05,2.01
EIF4A1,1.39e-05,9.94e-01
C14orf80,1.23e-05,-6.92e-01
ANGPT1,1.48e-05,1.91
GNL2,1.35e-05,7.68e-01
FGF2,1.39e-05,1.01
TRIB1,1.52e-05,1.37
CD276,1.42e-05,1.02
FAM73A,1.51e-05,-1.30
PRKCSH,1.37e-05,-8.35e-01
LDB3,1.49e-05,-1.09
SEMA7A,1.57e-05,-1.33
HVCN1,1.53e-05,1.05
NEK6,1.62e-05,1.35
RPN2,1.44e-05,7.12e-01
NOC4L,1.39e-05,-7.52e-01
LILRB3,1.60e-05,2.55
ATG2A,1.44e-05,-8.31e-01
WIPF3,1.63e-05,1.08
ZAK,1.62e-05,1.21
MAN1A1,1.68e-05,1.48
ST6GAL1,1.66e-05,1.24
EIF3M,1.29e-05,5.39e-01
TRIM14,1.68e-05,1.11
EGLN2,1.48e-05,-7.73e-01
DPYSL3,1.79e-05,1.41
SLC39A12,1.70e-05,1.11
DGCR2,1.57e-05,-8.24e-01
TAB2,1.84e-05,1.56
HLA-DMA,1.85e-05,1.73
CERCAM,1.85e-05,-1.46
AQP4,1.88e-05,1.69
RPS20P27,1.62e-05,7.41e-01
IMPDH2,1.51e-05,6.35e-01
MFNG,1.72e-05,9.78e-01
C17orf57,1.69e-05,6.90e-01
MRI1,1.67e-05,-8.37e-01
FOXN3,1.64e-05,7.76e-01
MGC70870,1.84e-05,9.51e-01
PLEKHA5,1.55e-05,5.73e-01
MLF1,1.84e-05,1.03
IFIH1,1.96e-05,1.14
RBMS1,1.89e-05,1.09
CMTM5,2.03e-05,-1.59
ARHGAP25,2.03e-05,1.39
GAMT,1.94e-05,-1.23
SH3GLB2,1.85e-05,-1.00
TAB1,1.56e-05,-5.66e-01
BRCC3,1.56e-05,5.68e-01
SLC47A1,1.99e-05,1.02
MAPK1IP1L,1.70e-05,6.70e-01
SERPINA3,2.08e-05,3.67
HLA-DPA1,2.10e-05,1.75
FZR1,1.87e-05,-9.28e-01
DNAJB2,2.10e-05,-1.52
ZNF816,1.81e-05,7.14e-01
NACAD,2.09e-05,-1.23
HLA-G,2.11e-05,1.33
GJB1,2.19e-05,-1.73
DDR2,2.12e-05,1.98
YAP1,2.19e-05,1.36
NUPR1,2.25e-05,2.06
NFKBIB,2.09e-05,-1.09
OLIG2,2.29e-05,-1.75
MSN,2.22e-05,1.35
SP100,2.18e-05,1.08
TRAPPC9,1.89e-05,-6.92e-01
ARL6IP4,1.94e-05,-7.46e-01
SGTA,2.06e-05,-9.15e-01
ATAT1,2.03e-05,-8.13e-01
EPB41L5,2.01e-05,7.61e-01
SELK,2.08e-05,8.68e-01
GIMAP2,2.33e-05,1.20
CASC2,2.36e-05,9.42e-01
TM7SF2,2.36e-05,-1.22
ZSCAN18,2.01e-05,-6.91e-01
LRRC47,2.19e-05,-9.58e-01
SLAMF8,2.48e-05,2.10
ANXA2P1,2.49e-05,1.83
KCTD12,2.42e-05,1.29
FXC1,2.04e-05,-6.64e-01
SLC25A43,2.17e-05,8.45e-01
LLGL2,2.53e-05,-1.55
TGIF1,2.45e-05,1.38
PLEK,2.51e-05,1.33
C5orf32,2.28e-05,9.98e-01
EIF2AK2,2.22e-05,8.84e-01
PIK3CG,2.60e-05,1.41
JAM2,2.23e-05,8.89e-01
RPL6,2.15e-05,7.47e-01
VMA21,2.33e-05,8.86e-01
HLA-DPB1,2.61e-05,1.85
SERPINA3,2.56e-05,3.95
CNTNAP3,2.60e-05,1.15
SDHAF1,2.07e-05,-6.69e-01
MPP2,2.36e-05,-9.02e-01
CFI,2.63e-05,1.56
EXOC7,2.68e-05,-1.60
PDIA2,2.69e-05,-2.05
RCOR2,2.67e-05,-1.46
UNC93B1,2.33e-05,7.98e-01
AIG1,2.15e-05,-6.39e-01
USP15,2.15e-05,6.71e-01
CES4A,2.77e-05,-1.56
ZFP106,2.48e-05,1.03
MID1IP1,2.63e-05,-1.23
FABP7,2.75e-05,1.56
UBAP1L,2.72e-05,-1.20
SEC61B,2.24e-05,6.71e-01
CPVL,2.86e-05,1.63
C19orf63,2.50e-05,-8.86e-01
ZNF791,2.49e-05,-8.96e-01
RASGEF1B,2.68e-05,9.71e-01
P4HTM,2.66e-05,-1.09
U2AF1L4,2.48e-05,-7.70e-01
CTSF,2.44e-05,-7.09e-01
ATP1B2,2.98e-05,1.58
NPL,2.98e-05,1.12
CNTNAP3,2.63e-05,8.93e-01
LCA5,2.51e-05,7.96e-01
DARS,2.38e-05,6.61e-01
PTPN20A,2.70e-05,8.05e-01
NTNG2,2.89e-05,-1.22
C1R,3.08e-05,1.69
PAG1,2.33e-05,5.97e-01
MBNL1,3.03e-05,1.22
FCGRT,2.79e-05,9.97e-01
MGST2,2.87e-05,1.13
ARHGAP30,2.72e-05,9.27e-01
IGF2BP3,3.04e-05,1.09
ARHGAP15,2.87e-05,1.06
LAPTM5,3.16e-05,1.63
DOCK7,2.84e-05,9.95e-01
GOLIM4,3.13e-05,1.68
UTRN,2.95e-05,1.11
SAMD9L,3.09e-05,1.31
BRSK1,2.70e-05,-8.42e-01
ZC4H2,2.49e-05,-6.19e-01
CALCRL,2.58e-05,6.72e-01
RPL17,2.75e-05,8.33e-01
EML2,3.12e-05,-1.27
RPL13,2.98e-05,9.52e-01
RRAS2,3.12e-05,1.21
CEBPA,3.37e-05,1.67
HGF,2.86e-05,8.01e-01
FUCA1,2.99e-05,1.00
ACCN3,2.92e-05,-7.75e-01
NAGA,3.28e-05,1.17
SP140,3.37e-05,1.35
TUBA1C,3.47e-05,2.09
CD63,3.19e-05,1.10
IKZF1,3.51e-05,1.70
ECM2,3.53e-05,1.81
PECAM1,3.31e-05,1.26
PAWR,3.14e-05,9.68e-01
PPP1R18,3.34e-05,1.26
SLC35B2,3.29e-05,-1.18
PPARG,3.05e-05,8.86e-01
GPX1,3.59e-05,1.53
DIS3L,3.00e-05,-8.34e-01
DDX19A,2.62e-05,-5.46e-01
DOK3,3.27e-05,1.09
ITSN1,3.10e-05,8.35e-01
COL8A2,3.63e-05,1.66
PANX1,3.11e-05,9.21e-01
ACSM5,3.43e-05,1.21
RCSD1,3.70e-05,1.31
GPR125,3.42e-05,1.16
NTNG1,3.00e-05,7.09e-01
PPP1R3E,3.12e-05,-7.69e-01
NCK1,3.08e-05,8.20e-01
HLA-DMB,3.77e-05,1.84
ITSN1,3.18e-05,8.75e-01
LOC202781,2.97e-05,-7.22e-01
ACSS3,3.15e-05,8.46e-01
SEMA3D,3.28e-05,9.50e-01
ATAD3C,3.16e-05,-8.12e-01
MYOF,3.34e-05,8.32e-01
RBM39,3.30e-05,8.63e-01
FAM22F,3.67e-05,-1.24
HVCN1,3.39e-05,1.01
SLC35E3,3.50e-05,-9.92e-01
PIRT,4.00e-05,1.94
KIF1C,3.85e-05,-1.26
LOC401588,3.02e-05,-5.84e-01
NANS,3.41e-05,9.07e-01
NPL,4.03e-05,1.61
TXNL4A,3.35e-05,-6.23e-01
HIP1R,3.97e-05,-1.95
ZNF276,3.47e-05,-9.34e-01
VAT1,3.93e-05,1.35
GNG12,3.85e-05,1.28
C14orf37,3.15e-05,7.07e-01
A2M,3.96e-05,1.44
NLRC4,3.95e-05,1.02
RECQL,3.80e-05,9.78e-01
MCAM,3.84e-05,-1.19
C19orf6,3.83e-05,-1.10
FAM89A,3.80e-05,1.09
NPM1,3.42e-05,8.06e-01
GEM,4.11e-05,1.53
IL17RD,3.65e-05,8.57e-01
RAPH1,3.17e-05,6.19e-01
HHATL,4.18e-05,-1.42
ARFRP1,3.49e-05,-7.48e-01
EIF3D,3.05e-05,5.06e-01
ADC,3.88e-05,-1.03
ABL2,3.59e-05,7.46e-01
RBM47,4.40e-05,1.45
ZNF580,3.60e-05,-7.70e-01
ITGA6,3.87e-05,8.31e-01
RPL19,3.52e-05,6.88e-01
FLJ14186,4.07e-05,-1.14
PDLIM5,3.82e-05,9.61e-01
PYGO1,3.53e-05,6.26e-01
ATG9A,3.34e-05,-6.13e-01
DMBT1,4.21e-05,-1.27
GIPC1,3.87e-05,-8.41e-01
KANK2,4.24e-05,1.27
CHN2,4.50e-05,1.00
PRKCD,3.31e-05,5.52e-01
BICD1,3.66e-05,7.05e-01
USP10,3.69e-05,6.70e-01
RRAS2,4.23e-05,1.16
MAPK8IP1,4.08e-05,-1.04
ASAP1-IT1,4.44e-05,1.12
CLEC9A,4.10e-05,-9.79e-01
KCNMA1,4.64e-05,1.34
FUZ,3.97e-05,-8.94e-01
SIRT1,3.81e-05,7.85e-01
AATK,4.65e-05,-1.96
EHD4,3.74e-05,7.43e-01
MGRN1,4.26e-05,-1.12
ARPC3,3.92e-05,7.64e-01
CGNL1,4.55e-05,1.29
MS4A6A,4.88e-05,1.94
ZFYVE20,4.00e-05,-8.60e-01
CTNNBL1,3.45e-05,5.46e-01
OGFRL1,4.72e-05,1.36
MPZL1,4.14e-05,9.46e-01
CTSC,4.72e-05,1.21
NPM1,3.45e-05,5.36e-01
PPIB,4.18e-05,8.35e-01
RSBN1,4.04e-05,8.23e-01
KARS,4.01e-05,7.52e-01
FAM3A,4.06e-05,-8.18e-01
HSP90B1,4.56e-05,1.09
CD37,4.74e-05,1.25
GNGT2,4.28e-05,7.02e-01
LOC100130027,4.22e-05,-7.97e-01
SOX3,4.24e-05,-8.10e-01
SYNE2,4.55e-05,9.78e-01
P2RY2,4.96e-05,1.15
CLEC2D,4.10e-05,7.27e-01
NAPEPLD,4.68e-05,-1.12
PLCE1,5.26e-05,1.37
PTPN2,4.29e-05,8.23e-01
RPS6KL1,4.37e-05,-8.13e-01
STMN4,5.31e-05,-1.97
ACADS,4.17e-05,-7.65e-01
PDE4DIP,3.85e-05,6.08e-01
CNTNAP3B,4.58e-05,7.84e-01
TOMM40,4.59e-05,-9.37e-01
MAP7D3,3.99e-05,5.96e-01
LIMS1,5.41e-05,1.40
MEIS2,4.48e-05,8.47e-01
BNC2,4.89e-05,8.63e-01
HIP1R,5.18e-05,-1.09
LIPE,5.50e-05,-2.09
CD151,5.08e-05,1.24
ENAH,4.63e-05,7.77e-01
S1PR3,5.54e-05,1.75
DOHH,5.52e-05,-1.63
SLC38A1,5.44e-05,1.53
CNOT4,4.62e-05,7.00e-01
ARHGAP42,5.55e-05,1.18
SH3BGRL,4.85e-05,8.82e-01
LRRFIP1,4.45e-05,6.50e-01
EIF4EBP1,5.28e-05,1.24
WNT5A,4.91e-05,1.02
LGI3,5.11e-05,-1.06
DCAF5,5.01e-05,9.12e-01
ADAMTS8,5.65e-05,-1.40
GNAI3,4.41e-05,6.62e-01
LOC100129960,5.14e-05,9.23e-01
RNH1,5.01e-05,-9.63e-01
LTA4H,5.94e-05,1.42
LAMA4,5.41e-05,9.49e-01
LIMK2,5.62e-05,1.39
IL28RA,5.34e-05,1.14
CCR5,5.56e-05,1.26
LCTL,5.27e-05,1.08
RHBDL2,6.07e-05,-1.58
CFD,6.23e-05,2.73
TNC,6.18e-05,1.31
PDE4DIP,5.32e-05,8.36e-01
COTL1,5.60e-05,1.11
AGRN,5.43e-05,-9.41e-01
IFI16,6.15e-05,1.42
DIAPH2,5.40e-05,9.06e-01
AXL,5.84e-05,1.14
CXorf69,5.34e-05,8.54e-01
DFNB31,5.66e-05,-1.14
MERTK,5.88e-05,1.20
PTPN6,4.50e-05,5.59e-01
OBFC2A,5.62e-05,9.89e-01
PCBP4,6.36e-05,-1.31
NENF,5.73e-05,-8.90e-01
RANGAP1,5.47e-05,-9.27e-01
NISCH,6.42e-05,-1.11
TMIE,6.04e-05,1.15
PRKCZ,6.42e-05,-1.50
DVL1,4.87e-05,-6.31e-01
ARFGAP1,5.56e-05,-8.88e-01
TBC1D13,6.37e-05,-1.20
RAB11FIP4,6.16e-05,-1.11
INF2,6.36e-05,-1.00
STK39,6.23e-05,-1.12
ARHGAP6,6.09e-05,8.87e-01
NEBL,6.27e-05,1.22
SND1,4.89e-05,5.75e-01
LZTS2,5.64e-05,-8.23e-01
PLBD1,6.93e-05,1.62
MIPOL1,5.41e-05,6.21e-01
ERP44,5.20e-05,6.93e-01
GNB4,6.99e-05,1.42
DSC2,6.25e-05,9.91e-01
PARD3,5.55e-05,8.01e-01
HLA-C,6.93e-05,1.62
CD83,6.84e-05,1.51
LGALS3,6.78e-05,1.19
RAP2B,5.63e-05,7.47e-01
CTNNBIP1,6.16e-05,-9.85e-01
PLSCR1,7.17e-05,1.72
SLC39A7,6.41e-05,-9.75e-01
SLC2A11,5.95e-05,-8.53e-01
DSE,6.61e-05,1.18
UCP2,6.70e-05,1.14
TUBGCP6,6.34e-05,-1.03
MYBPH,6.71e-05,1.20
CANX,6.58e-05,1.13
AKAP10,5.91e-05,6.67e-01
LINC00294,5.51e-05,-6.54e-01
ASAP3,5.87e-05,7.41e-01
RBM34,5.70e-05,6.45e-01
TAGAP,6.86e-05,1.03
LPL,7.65e-05,2.14
CXorf21,7.38e-05,1.15
NR3C1,4.95e-05,4.36e-01
LRAT,7.08e-05,1.03
SLC7A7,7.74e-05,1.91
RPS7,5.82e-05,6.85e-01
SHROOM1,6.74e-05,-1.06
C17orf87,6.45e-05,8.16e-01
DOCK8,7.50e-05,1.35
DOCK7,7.44e-05,1.12
MSR1,7.89e-05,2.20
SEC14L5,7.78e-05,-1.65
CD180,6.60e-05,7.88e-01
HLA-DPA1,8.08e-05,2.04
LOC147727,6.89e-05,-9.38e-01
C4orf48,6.94e-05,-8.31e-01
HEATR1,5.51e-05,5.37e-01
BBS4,6.21e-05,6.03e-01
POLR2E,5.79e-05,-5.89e-01
NFIA,6.59e-05,8.46e-01
HNMT,7.05e-05,9.11e-01
MS4A14,8.47e-05,1.62
RPL23,6.17e-05,6.62e-01
LMO2,7.08e-05,1.01
SLC38A1,7.88e-05,1.40
LMAN2L,6.04e-05,6.22e-01
APBA2,7.78e-05,-1.31
ALPK1,7.35e-05,1.03
ACP5,8.62e-05,2.31
FAM22A,6.67e-05,-7.22e-01
ACOT9,7.14e-05,9.50e-01
TYROBP,8.64e-05,1.99
FTL,8.59e-05,1.47
LRSAM1,6.53e-05,-7.38e-01
CNTLN,7.46e-05,9.00e-01
CTBP2,5.65e-05,4.61e-01
TSPAN6,8.41e-05,1.55
TMEM104,7.28e-05,-9.02e-01
C12orf76,8.55e-05,-1.46
LPP,7.65e-05,9.85e-01
CERCAM,8.89e-05,-2.06
SLA,8.71e-05,1.74
KDELC2,7.04e-05,8.60e-01
KIAA0930,7.66e-05,-1.00
TRAF3IP2,7.02e-05,8.41e-01
SLC1A3,7.57e-05,1.01
LOC100127909,7.26e-05,7.59e-01
SEMA4C,8.01e-05,-1.03
FLRT1,7.72e-05,-8.63e-01
CARNS1,8.97e-05,-2.33
EIF4EBP2,7.19e-05,8.50e-01
GAN,6.03e-05,4.99e-01
MOB1A,8.32e-05,1.01
CTSB,8.62e-05,1.26
ECM2,6.98e-05,6.87e-01
MRPS18B,6.11e-05,-5.18e-01
PABPC1,9.30e-05,1.56
NEK4,6.13e-05,4.69e-01
CD300A,8.23e-05,1.09
ID4,9.04e-05,1.49
TMEM60,6.88e-05,6.95e-01
FZD7,9.34e-05,1.30
CACNG7,8.42e-05,-1.21
PIK3CA,6.93e-05,6.85e-01
ANTXR1,9.40e-05,1.72
MX2,8.96e-05,1.21
TMEM63A,9.20e-05,-1.51
C1R,9.74e-05,1.54
BAALC,6.64e-05,5.04e-01
ENKUR,8.65e-05,1.15
ZNF436,7.03e-05,5.74e-01
TMEM235,9.76e-05,-2.14
IL6R,8.34e-05,8.97e-01
HM13,7.47e-05,6.71e-01
C17orf101,6.76e-05,-5.81e-01
GNA12,6.74e-05,5.71e-01
LRRC25,7.77e-05,7.91e-01
CCDC22,6.60e-05,-5.38e-01
RPN1,7.82e-05,7.25e-01
DVL1,8.43e-05,-7.53e-01
TTC17,6.72e-05,4.91e-01
COL8A2,8.77e-05,1.01
RPL7A,6.82e-05,5.81e-01
TBL1Y,7.74e-05,7.47e-01
USP4,7.52e-05,6.35e-01
CD84,1.02e-04,1.98
MAGEH1,8.60e-05,-1.07
BLZF1,7.40e-05,6.32e-01
PLK5,1.02e-04,-1.14
DSCAML1,8.10e-05,-7.78e-01
C10orf26,7.05e-05,5.66e-01
CTTN,7.28e-05,-6.39e-01
SYK,9.57e-05,1.23
C7orf23,6.95e-05,5.50e-01
PLCE1,1.00e-04,1.46
BAALC,7.90e-05,6.62e-01
ADORA3,1.04e-04,1.60
PAF1,7.63e-05,-6.89e-01
RBBP8,8.26e-05,8.10e-01
